url,old_price,new_price,Marque,Modèle,Année,Disponible chez,Nombre d'heures moteur,Nombre d'heures batteur,Nombre de secoueurs,Puissance
https://www.ouvrard.com/stock/occasion-2016-case-ih-farmall85c-4092661-fr-fr.htm,,,Case IH,FARMALL85C,2016,85,,,,85
https://www.ouvrard.com/stock/occasion-2011-kuhn-ga7932-4092688-fr-fr.htm,,,Kuhn,GA7932,2011,7.8,,,,
https://www.ouvrard.com/stock/occasion-2013-new-holland-t7-185-4092666-fr-fr.htm,,,New Holland,T7-185,2013,140,,,,140
https://www.ouvrard.com/stock/occasion-2019-kuhn-ga8030-4092656-fr-fr.htm,,,Kuhn,GA8030,2019,8.5,,,,
https://www.ouvrard.com/stock/occasion-2014-claas-lexion760-4264991-fr-fr.htm,,,Claas,LEXION760,2014,1881,1881,1271,Rotor,490
https://www.ouvrard.com/stock/occasion-2020-massey-ferguson-ideal7-4092482-fr-fr.htm,,,Massey Ferguson,IDEAL7,2020,410,410,260,Rotor,450
https://www.ouvrard.com/stock/occasion-2005-kuhn-discover-xm-40-4317590-fr-fr.htm,,,Kuhn,DISCOVER XM-40,2005,40,,,,
https://www.ouvrard.com/stock/occasion-divers-cd12000-4252310-fr-fr.htm,,,Divers,CD12000,,12,,,,
https://www.ouvrard.com/stock/occasion-2014-horsch-joker8rt-4092679-fr-fr.htm,,,Horsch,JOKER8RT,2014,7.8,,,,
https://www.ouvrard.com/stock/occasion-2009-new-holland-cr9080e-4329510-fr-fr.htm,,,New Holland,CR9080E,2009,5000,5000,3500,Rotor,
https://www.ouvrard.com/stock/occasion-2021-john-deere-6250r-4092533-fr-fr.htm,,,John Deere,6250R,2021,260,,,,260
https://www.ouvrard.com/stock/occasion-2001-new-holland-tn75-4280531-fr-fr.htm,20 000 €,18 000 €,New Holland,TN75,2001,75,,,,75
https://www.ouvrard.com/stock/occasion-2018-divers-u497-4246057-fr-fr.htm,,,Divers,U497,2018,5,,,,
https://www.ouvrard.com/stock/occasion-2021-claas-lexion7600-4182325-fr-fr.htm,,,Claas,LEXION7600,2021,365,365,237,Rotor,
https://www.ouvrard.com/stock/occasion-2017-berthoud-elyte1600-4317596-fr-fr.htm,,,Berthoud,ELYTE1600,2017,1600,,,,
https://www.ouvrard.com/stock/occasion-2006-caruelle-olympia-4317586-fr-fr.htm,,,Caruelle,OLYMPIA,2006,2500,,,,
https://www.ouvrard.com/stock/occasion-2013-claas-variant350-4190071-fr-fr.htm,,,Claas,VARIANT350,2013,Variable,,,,
https://www.ouvrard.com/stock/occasion-2019-krone-easycut320r-cv-4313628-fr-fr.htm,,,Krone,EASYCUT320R-CV,2019,3.2,,,,
https://www.ouvrard.com/stock/occasion-1990-irrifrance-63/200-pneuride-4185765-fr-fr.htm,1 000 €,850 €,Irrifrance,63/200 PNEURIDE,1990,200,,,,
https://www.ouvrard.com/stock/occasion-2010-fella-ts1603-4191175-fr-fr.htm,,,Fella,TS1603,2010,6.6,,,,
https://www.ouvrard.com/stock/occasion-2005-kuhn-agri-longer-4092509-fr-fr.htm,,,Kuhn,AGRI-LONGER,2005,Broyeur,,,,
https://www.ouvrard.com/stock/occasion-2012-new-holland-br7070-4092453-fr-fr.htm,,,New Holland,BR7070,2012,0.18,,,,
https://www.ouvrard.com/stock/occasion-2017-new-holland-t7-210rc-sw-4092463-fr-fr.htm,,,New Holland,T7-210RC-SW,2017,165,,,,165
https://www.ouvrard.com/stock/occasion-2020-divers-cm7/150-4238000-fr-fr.htm,5 300 €,4 700 €,Divers,CM7/150,2020,FALSE,,,,
https://www.ouvrard.com/stock/occasion-1995-new-holland-fx375-4095377-fr-fr.htm,,,New Holland,FX375,1995,4 RM,4500,,,
https://www.ouvrard.com/stock/occasion-2003-new-holland-tm120-4191179-fr-fr.htm,,,New Holland,TM120,2003,120,,,,120
https://www.ouvrard.com/stock/occasion-2001-fendt-6300al-4317600-fr-fr.htm,,,Fendt,6300AL,2001,2500,2500,1943,6,295
https://www.ouvrard.com/stock/occasion-2008-horsch-pronto-dc4-4190069-fr-fr.htm,,,Horsch,PRONTO-DC4,2008,4,,,,
https://www.ouvrard.com/stock/occasion-2023-case-ih-quantum100f-4182065-fr-fr.htm,,,Case IH,QUANTUM100F,2023,400,,,,
https://www.ouvrard.com/stock/occasion-2016-new-holland-roll-belt180-4092466-fr-fr.htm,,,New Holland,ROLL-BELT180,2016,0.18,,,,
https://www.ouvrard.com/stock/occasion-2012-beyne-python-4092479-fr-fr.htm,,,Beyne,PYTHON,2012,5200,,,,
https://www.ouvrard.com/stock/occasion-2012-lucas-castor+20r-4264994-fr-fr.htm,,,Lucas,CASTOR+20R,2012,2,,,,
https://www.ouvrard.com/stock/occasion-2013-lemken-karat-4182316-fr-fr.htm,,,Lemken,KARAT,2013,5,,,,
https://www.ouvrard.com/stock/occasion-1995-horsch-seme-exact-4277713-fr-fr.htm,,,Horsch,SEME-EXACT,1995,3,,,,
https://www.ouvrard.com/stock/occasion-2010-kuhn-ga6520-4317591-fr-fr.htm,,,Kuhn,GA6520,2010,6.5,,,,
https://www.ouvrard.com/stock/occasion-2016-lely-rp160v-4298841-fr-fr.htm,,,Lely,RP160V,2016,0.16,,,,
https://www.ouvrard.com/stock/occasion-2007-new-holland-br750a-4246059-fr-fr.htm,,,New Holland,BR750A,2007,0.18,,,,
https://www.ouvrard.com/stock/occasion-2019-new-holland-bb1290plus-4222282-fr-fr.htm,,,New Holland,BB1290PLUS,2019,90 x 120,,,,
https://www.ouvrard.com/stock/occasion-2014-horsch-joker5ct-4246079-fr-fr.htm,,,Horsch,JOKER5CT,2014,5,,,,
https://www.ouvrard.com/stock/occasion-2017-new-holland-t6-155ac-4222269-fr-fr.htm,,,New Holland,T6-155AC,2017,115,,,,115
https://www.ouvrard.com/stock/occasion-stoll-adaptation-4289591-fr-fr.htm,,,Stoll,ADAPTATION,,FALSE,,,,
https://www.ouvrard.com/stock/occasion-2015-valtra-s324-2710455-fr-fr.htm,,,Valtra,S324,2015,320,,,,320
https://www.ouvrard.com/stock/occasion-2005-amazone-ad403-4182209-fr-fr.htm,,,Amazone,AD403,2005,4,,,,
https://www.ouvrard.com/stock/occasion-2012-lemken-karat-9-4317599-fr-fr.htm,,,Lemken,KARAT 9,2012,3,,,,
https://www.ouvrard.com/stock/occasion-2022-new-holland-t7-270ac-4222275-fr-fr.htm,,,New Holland,T7-270AC,2022,240,,,,240
https://www.ouvrard.com/stock/occasion-2001-new-holland-vn260-4092430-fr-fr.htm,,,New Holland,VN260,2001,6465,,,,
https://www.ouvrard.com/stock/occasion-2016-caruelle-olympia-4190059-fr-fr.htm,,,Caruelle,OLYMPIA,2016,6000,,,,
https://www.ouvrard.com/stock/occasion-2019-ferrand-r5500sv/3-4107123-fr-fr.htm,9 900 €,8 900 €,Ferrand,R5500SV/3,2019,Electrique,,,,
https://www.ouvrard.com/stock/occasion-2018-kuhn-fc3125df-4092657-fr-fr.htm,,,Kuhn,FC3125DF,2018,3.1,,,,
https://www.ouvrard.com/stock/occasion-2018-sky-easy-drill-4190070-fr-fr.htm,,,SKY,EASY DRILL,2018,6,,,,
https://www.ouvrard.com/stock/occasion-2016-new-holland-t7-225-4246069-fr-fr.htm,,,New Holland,T7-225,2016,180,,,,180
https://www.ouvrard.com/stock/occasion-loiseau-l60-4092625-fr-fr.htm,,,Loiseau,L60,,FALSE,,,,
https://www.ouvrard.com/stock/occasion-2006-väderstad-carrier500-4222257-fr-fr.htm,,,Väderstad,CARRIER500,2006,5,,,,
https://www.ouvrard.com/stock/occasion-2007-kuhn-ga6522-4298840-fr-fr.htm,,,Kuhn,GA6522,2007,6.5,,,,
https://www.ouvrard.com/stock/occasion-2016-divers-cm11/190-4238001-fr-fr.htm,4 300 €,3 600 €,Divers,CM11/190,2016,FALSE,,,,
https://www.ouvrard.com/stock/occasion-2004-kuhn-ga4521gm-4317592-fr-fr.htm,,,Kuhn,GA4521GM,2004,4.5,,,,
